name,location,price
bishalnagar residing bunglow at sale,"milap marga,bishalnagar,kathmandu",55000000.0
semi furnished home for sale at hattiban - 28,"hattiban - 28,hattiban,lalitpur",27000000.0
5 bhk house is on sale near hattiban,"hattiban - 28,hattiban,lalitpur",29000000.0
"residential 2.5 storied 4 bhk house ""for sale"" at saibu-18","saibu,bhaisepati,lalitpur",30000000.0
residential house for sale at dhapasi nainatole nearby kuwar colony,"nainatole,dhapasi,kathmandu",70000000.0
beautiful house is on sale at gothatar.,"kageshwori manohara municipality-08,gothatar,kathmandu",35000000.0
2.5 storied building for sale,"kageshwori municipality-9,gothatar,kathmandu",26000000.0
kalanki sunargaun located home for sale,"sunar gaun,kalanki,kathmandu",27000000.0
banglow for sale at bishalnagar,"sadikshya marga- 4,bishalnagar,kathmandu",35000000.0
a beautiful banglow located at bishalnagar is on sale!!!,"haadigaun marg,bishalnagar,kathmandu",130000000.0
4 bhk house for sale in sanepa,"sanepa,balkhu,lalitpur",28000000.0
modern home for sale in bhaisepati nearby medicity hospital,"sainbu-18,bhaisepati,lalitpur",60000000.0
attractive home for sale in hepali height,"hepali height,budhanilkantha,kathmandu",60000000.0
2.5 storey house built on 4 aana is on sale located at hattigauda .,"ganesh chowk,hattigauda,kathmandu",26000000.0
